Sl. No.,Test.Set.Name,Test.Name,Test.Id,Req.Id,Requirement.Name,LastCycleID,LastCycle.1.Runstatus,RegWt,ReqSize,ReqQuality,ActualResult,PredictedResult
37,BM6_BAG_TRACK,[1]WS_012_Manage Tracking Location_Track Location type_Verify the options available when Track Location type is set as Departure,10073,6539,Arrival Scanning -> Manage Tracking Locations,6,0,0,3,1,0,0
38,BM6_BAG_TRACK,[1]WS_013_Manage Tracking Location_Track Location type_Verify the options available when Track Location type is set as Scan Array,10074,6539,Arrival Scanning -> Manage Tracking Locations,6,0,0,3,1,0,0
39,BM6_BAG_TRACK,[1]WS_014_Manage Tracking Location_Verify Action_Set bag as Delivered,10075,6539,Arrival Scanning -> Manage Tracking Locations,9,0,0,3,1,0,0
40,Regression_Miscellaneous1,[1]WS_014_Manage Tracking Location_Verify Action_Set bag as Delivered,10075,6539,Arrival Scanning -> Manage Tracking Locations,9,0,0,3,1,0,0
41,BM6_BAG_TRACK,[1]WS_015_Manage Tracking Location_Verify Action_Set bag as Unloaded,10076,6539,Arrival Scanning -> Manage Tracking Locations,6,0,0,3,1,0,0
42,BM6_BAG_TRACK,[1]WS_016_Manage Tracking Location_Verify Action_Set bag status Implicity,10077,6539,Arrival Scanning -> Manage Tracking Locations,6,0,0,3,1,0,0
43,BM6_BAG_TRACK,[1]WS_017_Manage Tracking Location_Verify Action_Track only,10078,6539,Arrival Scanning -> Manage Tracking Locations,6,0,0,3,1,0,0
44,BM6_BAG_TRACK,[1]WS_018_Manage Tracking Location_Verify the Alert warning and critical warning time_Bag not Seen at Location,10079,6539,Arrival Scanning -> Manage Tracking Locations,6,0,0,3,1,0,0
45,BM6_BAG_TRACK,[1]WS_019_Manage Tracking Location_Verify the Alert warning and critical warning time_Bag not Loaded,10080,6539,Arrival Scanning -> Manage Tracking Locations,6,0,0,3,1,0,0
46,BM6_BAG_TRACK,[1]WS_020_Manage Tracking Location_Verify the Alert warning and critical warning time_Custom User Alert,10081,6539,Arrival Scanning -> Manage Tracking Locations,6,0,0,3,1,0,0
47,BM6_BAG_TRACK,[1]WS_023_Manage Tracking Location_Verify the  alert generated for Custom User Alert,10084,6539,Arrival Scanning -> Manage Tracking Locations,6,0,0,3,1,0,0
48,BM6_BAG_TRACK,[1]WS_024_Manage Tracking Location_Verify the Offload Bag setting when option set as No,10085,6539,Arrival Scanning -> Manage Tracking Locations,6,0,0,3,1,0,0
49,BM6_BAG_TRACK,[1]WS_025_Manage Tracking Location_Verify the Offload Bag setting when option set as Yes,10086,6539,Arrival Scanning -> Manage Tracking Locations,6,0,0,3,1,0,0
50,Arrival Flights menu,[1]CR_4687_001_Tracking Locations_GUI Validation,10173,6539,Arrival Scanning -> Manage Tracking Locations,0,0,0,0,0,0,0
51,Arrival Flights menu,[1]CR_4687_002_Tracking Locations_Update Tracking Location pop up_GUI Validation,10174,6539,Arrival Scanning -> Manage Tracking Locations,0,0,0,0,0,0,0
52,Arrival Flights menu,[1]CR_4687_003_Tracking Locations_Add Tracking Location pop up_GUI Validation,10175,6539,Arrival Scanning -> Manage Tracking Locations,0,0,0,0,0,0,0
53,Arrival Flights menu,[1]CR_4687_004_Tracking Locations_Update Tracking Location with non numeric value for Scanner Id,10176,6539,Arrival Scanning -> Manage Tracking Locations,9,0,0,3,1,0,0
54,WS_TrackingLocations_AdminURL,[1]CR_4687_004_Tracking Locations_Update Tracking Location with non numeric value for Scanner Id,10176,6539,Arrival Scanning -> Manage Tracking Locations,9,0,0,3,1,0,0
55,Arrival Flights menu,[1]CR_4687_005_Tracking Locations_Add Tracking Location with non numeric value for Scanner Id,10177,6539,Arrival Scanning -> Manage Tracking Locations,0,0,0,0,0,0,0
56,Arrival Flights menu,[1]CR_4687_006_Tracking Locations_Update Tracking Location with numeric value for Scanner Id,10178,6539,Arrival Scanning -> Manage Tracking Locations,0,0,0,0,0,0,0
57,Arrival Flights menu,[1]CR_4687_007_Tracking Locations_Add Tracking Location with numeric value for Scanner Id,10179,6539,Arrival Scanning -> Manage Tracking Locations,0,0,0,0,0,0,0
58,Arrival Flights menu,[1]CR_4687_008_Tracking Locations_Add Tracking Location with details which already exist,10273,6539,Arrival Scanning -> Manage Tracking Locations,9,0,0,3,1,0,0
59,WS_TrackingLocations_AdminURL,[1]CR_4687_008_Tracking Locations_Add Tracking Location with details which already exist,10273,6539,Arrival Scanning -> Manage Tracking Locations,9,0,0,3,1,0,0
60,WS_Reflight_DeletedBag,[1]CR_4383_3186_001_Verify that user is able to Reflight a deleted bag from WS,8419,6542,QC3186 - HHT & IWS>Refllgtht bag.   Can't reflight a deleted bag.  The deleted bag must be treated as an UNK,11,0,54,2,3,0,1
61,WS_Reflight_DeletedBag,[1]CR_4383_3186_004_Verify that error message is displayed when user add deleted bag on re-flight bag screen from WS,8422,6542,QC3186 - HHT & IWS>Refllgtht bag.   Can't reflight a deleted bag.  The deleted bag must be treated as an UNK,11,0,118,2,3,0,1
62,WS_Reflight_NewReflightScreen,[1]CR_4392_4201_002_Verify that New Reflight option should get enabled after Reflight a Bag,8405,6544,"QC4201- IWS>Reflight Bags.  Add a ""New Reflight"" button so user can start a new reflight without having to go the menu",18,0,54,2,3,0,1
63,WS_Reflight_NewReflightScreen,[1]CR_4392_4201_003_ Verify that Fresh Reflight  bag screen should be displayed after pressing New Reflight option,8406,6544,"QC4201- IWS>Reflight Bags.  Add a ""New Reflight"" button so user can start a new reflight without having to go the menu",18,0,54,2,3,0,1
64,OpsScenario1,[1]CR_4404_4227_001_OPS_Airport_Verify the World Tracer option in Function option tab,8394,6545,"QC4227- Add a ""WorldTracer available?"" configuration option at airport level, to indicate if a WT connection is present at the site",8,0,0,2,3,0,0
65,OpsScenario1,[1]CR_4404_4227_002_OPS_Airport_Verify the Basic Tab,8395,6545,"QC4227- Add a ""WorldTracer available?"" configuration option at airport level, to indicate if a WT connection is present at the site",8,0,0,2,3,0,0
66,WS_Reflight_WTRScreen,[1]CR_4404_4227_003_WS_Reflight_Set the World Tracer Access option to Yes and then reflight the bag,8396,6545,"QC4227- Add a ""WorldTracer available?"" configuration option at airport level, to indicate if a WT connection is present at the site",10,0,52,2,3,0,1
67,WS_Reflight_UnknownTagless_GUIValidation,[1]CR_4409_4235_001_Verify the GUI validation at Reflight Bags screen,8486,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,15,0,0,3,3,0,0
68,WS_Reflight_UnknownTagless_GUIValidation,[1]CR_4409_4235_002_WS_Reflight Bags_Reflight a tagless bag,8487,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,17,0,108,3,3,0,1
69,Regression Test Cases,[1]CR_4409_4235_002_WS_Reflight Bags_Reflight a tagless bag,8487,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,17,0,108,3,3,0,1
70,WS_Reflight_UnknownTagless_GUIValidation,[1]CR_4409_4235_003_WS_Reflight Bags_Reflight an unknown bag,8488,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,17,0,108,3,3,0,1
71,Regression Test Cases,[1]CR_4409_4235_003_WS_Reflight Bags_Reflight an unknown bag,8488,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,17,0,108,3,3,0,1
72,WS_ReflightBag_Remove_ReEnter_NewReflight,[1]CR_4409_4235_004_WS_Reflight Bags_Verify the Remove Bag(s) functionality from the control dropdown,8489,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,10,0,52,3,3,0,1
73,Regression Test Cases,[1]CR_4409_4235_004_WS_Reflight Bags_Verify the Remove Bag(s) functionality from the control dropdown,8489,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,10,0,52,3,3,0,1
74,WS_ReflightBag_Remove_ReEnter_NewReflight,[1]CR_4409_4235_005_WS_Reflight Bags_Verify the New Reflighting functionality from the dropdown,8490,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,10,0,52,3,3,0,1
75,Regression Test Cases,[1]CR_4409_4235_005_WS_Reflight Bags_Verify the New Reflighting functionality from the dropdown,8490,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,10,0,52,3,3,0,1
76,WS_ReflightBag_Remove_ReEnter_NewReflight,[1]CR_4409_4235_006_WS_Reflight Bags_Verify _ Re enter flight detail functionality from the control dropdown,8491,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,9,0,52,3,3,0,1
77,WS_ReflightBag_Remove_ReEnter_NewReflight,[1]CR_4409_4235_007_ WS_Reflight_ Reflight more than one bag,8492,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,10,0,52,3,3,0,1
78,Regression Test Cases,[1]CR_4409_4235_007_ WS_Reflight_ Reflight more than one bag,8492,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,10,0,52,3,3,0,1
79,WS_ReflightBag_Remove_ReEnter_NewReflight,[1]CR_4409_4235_008_WS_Reflight_Reflight the bag to onward flight,8493,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,9,0,52,3,3,0,1
80,WS_ReflightBag_OutboundFlightExistNotExist,[1]CR_4409_4235_009_WS_Reflight_Reflight the bag using suggest outbound flight _flight should exist,8494,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,9,0,52,3,3,0,1
81,WS_ReflightBag_OutboundFlightExistNotExist,[1]CR_4409_4235_010_ WS_Reflight_ Reflight the bag using suggest outbound flight _flight not exist,8495,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,8,0,24,3,3,0,1
82,WS_ReflightBag_OutboundFlightExistNotExist,[1]CR_4409_4235_011_ WS_Reflight_Reflight the bag_manually reflight the bag_flight exist,8496,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,8,0,24,3,3,0,1
83,WS_ReflightBag_OutboundFlightExistNotExist,[1]CR_4409_4235_012_  WS_Reflight_Reflight the bag_manually reflight the bag_flight does not exist,8497,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,8,0,24,3,3,0,1
84,WS_ReflightMinimumMaximum_LookHeadTime,[1]CR_4409_4235_013_WS_Reflight_Reflight the bag_manually reflight the bag_enter flight with invalid format,8498,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,15,0,48,3,3,0,1
85,WS_ReflightUnknownBag_Bag_WTRdetails,[1]CR_4409_4235_014_WS_Reflight_Reflight the bag_using WTR details,8499,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,13,0,236,3,3,0,1
86,Regression Test Cases,[1]CR_4409_4235_014_WS_Reflight_Reflight the bag_using WTR details,8499,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,13,0,236,3,3,0,1
87,WS_ReflightUnknownBag_Bag_WTRdetails,[1]CR_4409_4235_015_WS_Reflight_Reflight the bag_using WTR details_verify the modify details and cancel buton functionality,8500,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,12,0,236,3,3,0,1
88,Change Request_Old CR,[1]CR_4409_4235_016_HHT_Reflight_Reflight the bag_manually reflight the bag_enter flight with invalid format,76494,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,0,0,0,0,0,0,0
89,Change Request_Old CR,[1]CR_4409_4235_017_HHT_Reflight_Reflight the bag_using WTR details,76495,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,0,0,0,0,0,0,0
90,Change Request_Old CR,[1]CR_4409_4235_018_HHT_Reflight_System verify for BTP printer availability,76496,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,0,0,0,0,0,0,0
91,Change Request_Old CR,[1]CR_4409_4235_019_HHT_Reflight_System verify for BTP printer availability,76497,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,0,0,0,0,0,0,0
92,Change Request_Old CR,[1]CR_4409_4235_020_HHT_Reflight_System verify for BTP printer availability,76498,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,0,0,0,0,0,0,0
93,Change Request_Old CR,[1]CR_4409_4235_021_HHT_Verify the GUI validation at Reflight Bags screen,76499,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,0,0,0,0,0,0,0
94,Change Request_Old CR,[1]CR_4409_4235_022_HHT_Reflight Bags_Reflight an unknown bag,76500,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,0,0,0,0,0,0,0
95,Change Request_Old CR,[1]CR_4409_4235_024_HHT_Reflight_Reflight the bag using suggest outbound flight _flight should exist,76501,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,0,0,0,0,0,0,0
96,Change Request_Old CR,[1]CR_4409_4235_025_HHT_Reflight_Reflight the bag using suggest outbound flight _flight should not exist,76502,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,0,0,0,0,0,0,0
97,Change Request_Old CR,[1]CR_4409_4235_026_HHT_Reflight_Reflight the bag_manually reflight the bag_flight exist,76503,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,0,0,0,0,0,0,0
98,Change Request_Old CR,[1]CR_4409_4235_027_HHT_Reflight_Reflight the bag_manually reflight the bag_flight not exist,76504,6547,QC4235- IWS>Reflight.  Rework of the UI and flow for improvement and HHT compatability,0,0,0,0,0,0,0
99,WS_Reflight_OutboundCarrier_UnknownOnward,[1]CR_2230_4367_4410_4412_4308_001_Verify the prefill of WTR details when outbound carrier and originally scheduled carrier are same,8455,6549,QC4308-Rules definition for pre-filling of FW Addresses,15,0,48,3,3,0,1
100,WS_Reflight_OutboundCarrier_UnknownOnward,[1]CR_2230_4367_4410_4412_4308_002_Verify the prefill of WTR details when outbound carrier and originally scheduled carrier are different,8456,6549,QC4308-Rules definition for pre-filling of FW Addresses,15,0,48,3,3,0,1
101,WS_Reflight_OnwardCarrier,[1]CR_2230_4367_4410_4412_4308_003_Verify the prefill of WTR details with one onward connection_outbound carrier code is same as of original flight and onward carrier code is different than original flight carrier code,8457,6549,QC4308-Rules definition for pre-filling of FW Addresses,13,0,108,3,3,0,1
102,Wt_Reflight_OnwardCarrier2,[1]CR_2230_4367_4410_4412_4308_004_Verify the prefill of WTR details with one onward connection_outbound carrier code and onward carrier code are different than original flight carrier code,8458,6549,QC4308-Rules definition for pre-filling of FW Addresses,9,0,24,3,3,0,1
103,Wt_Reflight_OnwardCarrier3,[1]CR_2230_4367_4410_4412_4308_005_Verify the prefill of WTR details with two onward connection_outbound carrier code should be same as original flight carrier code and onward carrier code should be different than original carrier code,8459,6549,QC4308-Rules definition for pre-filling of FW Addresses,12,0,24,3,3,0,1
104,WT_ForwardOnHand_LZ_ScreenGUIValidation,[1]CR_4414_4331_001_GUI validation of Forward On Hand bag screen,8541,6550,QC4331- IWS>Forward Screens.  Rework of the UI and flow for improvement on all forward screens.,9,0,2,3,3,0,0
105,WT_ForwardHeldBagScenario1,[1]CR_4414_4331_002_GUI validation of Forward Held bag screen,8542,6550,QC4331- IWS>Forward Screens.  Rework of the UI and flow for improvement on all forward screens.,8,0,0,3,3,0,0
106,WT_ForwardOnHand_LZ_ScreenGUIValidation,[1]CR_4414_4331_003_GUI validation of Forward bag to LZ screen,8543,6550,QC4331- IWS>Forward Screens.  Rework of the UI and flow for improvement on all forward screens.,9,0,2,3,3,0,0
107,WT_ForwardBagFOH_LZ_OnwardFlight,[1]CR_4414_4331_004_Forward a bag from Forward On Hand bag screen,8544,6550,QC4331- IWS>Forward Screens.  Rework of the UI and flow for improvement on all forward screens.,14,0,24,3,3,0,1
108,WT_ForwardHeldBagScenario1,[1]CR_4414_4331_005_Forward a bag from Forward  Held bag screen,8545,6550,QC4331- IWS>Forward Screens.  Rework of the UI and flow for improvement on all forward screens.,8,0,0,3,3,0,0
109,WT_ForwardBagFOH_LZ_OnwardFlight,[1]CR_4414_4331_006_Forward a bag from Forward bag to LZ screen,8546,6550,QC4331- IWS>Forward Screens.  Rework of the UI and flow for improvement on all forward screens.,14,0,24,3,3,0,1
110,WT_ForwardBagFOH_LZ_OnwardFlight,[1]CR_4414_4331_007_Forward a bag with Onward flight from Forward On Hand bag screen,8547,6550,QC4331- IWS>Forward Screens.  Rework of the UI and flow for improvement on all forward screens.,14,0,24,3,3,0,1
111,WT_ForwardHeldBagScenario1,[1]CR_4414_4331_008_Forward a bag with Onward flight from Forward Held bag screen,8548,6550,QC4331- IWS>Forward Screens.  Rework of the UI and flow for improvement on all forward screens.,8,0,24,3,3,0,1
112,WT_ForwardBagFOH_LZ_OnwardFlight,[1]CR_4414_4331_009_Forward a bag with Onward flight from Forward bag to LZ screen,8549,6550,QC4331- IWS>Forward Screens.  Rework of the UI and flow for improvement on all forward screens.,14,0,24,3,3,0,1
113,WS_Reflight_OutboundFlightDes_WTRTelex,[1]CR_4200_4423_001_WS_Verify that Suggest outbound list is displaying for passenger first destination,8429,6553,QC4200- IWS>Reflight Bags.  Allow the optional selection of a default city when searching for a reflight flight.,16,0,116,1,3,0,1
114,Change Request_Old CR,[1]CR_4200_4423_002_HHT_Verify that Suggest outbound list is displaying for passenger first destination,76470,6553,QC4200- IWS>Reflight Bags.  Allow the optional selection of a default city when searching for a reflight flight.,0,0,0,0,0,0,0
115,Change Request_Old CR,[1]CR_4394_4203_001_HHT_Verify the Tab order on reflight bag screen,76479,6554,QC4203- IWS>Reflight Bags. Tab Order on UI,0,0,0,0,0,0,0
116,Change Request_Old CR,[1]CR_4395_4204_001_HHT_Validate the Telex address at reflight bag screen_ reflight bag,76484,6555,QC4204- IWS>Relfight Bag. FWD.  Add 7x Telex (TX) address fields,0,0,0,0,0,0,0
117,Change Request_Old CR,[1]CR_4395_4204_002_HHT_Verify that system should not allow reflight a bag with invalid Telex address,76485,6555,QC4204- IWS>Relfight Bag. FWD.  Add 7x Telex (TX) address fields,0,0,0,0,0,0,0
118,WS_Reflight_RFLScreenGui,[1]CR_4396_4205_001_WS_Bag_Reflight Bag_Verify that after selecting the RFL code from the list screen should not point to first RFL code,8381,6556,QC4205- IWS>Reflight Bag.  Improvements to UI when user is selecting an RFL co,13,0,52,2,3,0,1
119,WS_Reflight_RFLScreenGui,[1]CR_4396_4205_002_WS_Bag_Reflight Bag_Verify that size of RFL code winow should be considerably large,8382,6556,QC4205- IWS>Reflight Bag.  Improvements to UI when user is selecting an RFL co,13,0,52,2,3,0,1
120,WS_Reflight_UnknownTagless_FlightStatusCode,[1]CR_4402_4211_001_WS_Reflight the unknown bag using YY as a carrier code without flight number,8447,6557,"QC4211-IWS>Reflight Bag.  Allow the WorldTracer ""unknown flight designator"" 'YY' to be input in original flight details  (WTR also needs a fix, due Jan 013)",16,1,57834,2,3,1,1
121,WS_Reflight_UnknownTagless_FlightStatusCode,[1]CR_4402_4211_002_WS_Reflight the tagless bag using YY as a carrier code without flight number,8448,6557,"QC4211-IWS>Reflight Bag.  Allow the WorldTracer ""unknown flight designator"" 'YY' to be input in original flight details  (WTR also needs a fix, due Jan 013)",15,1,28916,2,3,1,1
122,Change Request_Old CR,[1]CR_4402_4211_003_HHT_Reflight the unknown bag using YY as a carrier code without flight number,76491,6557,"QC4211-IWS>Reflight Bag.  Allow the WorldTracer ""unknown flight designator"" 'YY' to be input in original flight details  (WTR also needs a fix, due Jan 013)",0,0,0,0,0,0,0
123,WS_Reflight_FlightRestriction,[1]CR_4403_4212_001_Verify the To Flight Restriction_To flight number has reflight restriction for all airlines_Reflight Bag,8462,6558,"QC4212- HHT & IWS>Reflight Bag. Implement ""reflight from"" and ""reflight to"" restrictions",17,0,118,3,3,0,1
124,WT_ForwardBagFlightRestriction,[1]CR_4403_4212_002_Verify the To Flight Restriction_To Single flight number has reflight restriction for all airlines_Forward Held Bag (FAH),8463,6558,"QC4212- HHT & IWS>Reflight Bag. Implement ""reflight from"" and ""reflight to"" restrictions",16,0,6,3,3,0,0
