age,job,marital,education,default,balance
29,technician,married,secondary,no,444
41,management,married,secondary,no,0
32,technician,single,tertiary,no,360
37,management,married,tertiary,no,0
42,entrepreneur,divorced,tertiary,yes,2
31,management,single,tertiary,no,6248
41,services,married,tertiary,no,412
56,retired,married,secondary,no,344
54,management,divorced,tertiary,no,3222
41,blue-collar,divorced,secondary,no,174
40,technician,single,secondary,no,591
50,blue-collar,divorced,primary,no,388
40,unemployed,married,secondary,no,219
27,admin.,divorced,secondary,no,451
60,retired,married,primary,no,5
28,admin.,single,secondary,no,177
52,services,married,secondary,no,657
37,management,married,tertiary,no,1315
51,blue-collar,married,primary,no,1466
41,technician,single,secondary,no,879
35,blue-collar,single,primary,no,293
38,admin.,married,secondary,no,424
34,blue-collar,married,secondary,no,1831
39,blue-collar,married,primary,no,111
34,blue-collar,married,primary,no,455
27,services,single,secondary,no,-195
32,management,single,tertiary,no,3616
57,blue-collar,married,secondary,no,14093
41,unknown,single,tertiary,no,1567
41,admin.,married,tertiary,no,5426
30,admin.,single,tertiary,no,261
36,blue-collar,divorced,secondary,no,2843
31,unemployed,single,primary,no,406
36,blue-collar,married,secondary,no,0
38,management,single,tertiary,no,493
49,technician,married,secondary,no,5996
57,services,single,primary,no,3777
34,management,single,secondary,no,524
32,management,single,tertiary,no,574
37,blue-collar,married,secondary,no,427
33,self-employed,married,tertiary,no,483
56,unemployed,married,primary,no,3391
27,housemaid,married,primary,no,0
21,student,single,secondary,no,2488
58,management,married,tertiary,no,1517
32,self-employed,married,secondary,no,217
33,blue-collar,single,secondary,no,22
25,student,single,secondary,no,331
25,technician,single,secondary,no,505
30,services,married,secondary,no,1808
22,admin.,single,secondary,no,4111
39,blue-collar,married,primary,no,52
46,management,divorced,tertiary,no,25
31,admin.,divorced,secondary,no,1890
45,blue-collar,married,primary,no,419
32,technician,married,secondary,no,2693
36,blue-collar,married,secondary,no,-231
51,management,single,tertiary,yes,-55
34,self-employed,single,tertiary,no,462
24,unemployed,single,secondary,no,119
45,technician,single,secondary,no,586
32,blue-collar,single,secondary,no,228
77,retired,divorced,tertiary,no,4659
41,blue-collar,married,primary,no,168
37,blue-collar,married,primary,no,0
43,blue-collar,married,unknown,yes,-715
48,admin.,married,unknown,no,0
27,technician,single,secondary,no,769
33,management,single,tertiary,no,0
29,admin.,single,secondary,no,428
34,management,single,tertiary,no,0
52,management,married,tertiary,no,-970
60,management,married,unknown,no,6313
32,management,divorced,tertiary,no,948
32,management,single,tertiary,no,0
56,services,divorced,unknown,no,1877
31,management,single,tertiary,no,874
42,admin.,married,secondary,no,323
35,management,married,tertiary,no,106
56,retired,married,primary,no,1906
48,technician,married,secondary,no,1152
46,admin.,married,secondary,no,179
37,technician,single,unknown,no,391
41,entrepreneur,married,unknown,no,89
36,management,single,tertiary,no,442
45,unemployed,divorced,primary,yes,-249
55,entrepreneur,married,secondary,no,8104
39,technician,married,secondary,no,501
35,technician,divorced,secondary,no,308
55,admin.,married,secondary,no,602
55,technician,married,secondary,no,273
27,self-employed,single,secondary,no,50
34,technician,married,secondary,no,1641
34,blue-collar,married,tertiary,no,20
25,admin.,single,secondary,no,4590
41,admin.,single,secondary,no,-256
43,services,married,secondary,no,978
28,management,single,tertiary,no,80
31,admin.,single,secondary,no,2104
78,housemaid,married,secondary,no,499
45,blue-collar,divorced,secondary,no,1269
48,technician,married,tertiary,no,310
32,blue-collar,single,secondary,no,1143
42,technician,married,secondary,no,2980
37,management,single,tertiary,no,37
40,admin.,single,secondary,no,462
32,admin.,married,secondary,no,1031
42,management,married,tertiary,no,9009
43,admin.,married,secondary,no,-465
44,admin.,married,secondary,no,5181
37,admin.,married,secondary,no,176
37,unknown,married,unknown,no,1699
37,admin.,married,tertiary,no,0
28,technician,single,tertiary,no,172
32,services,single,secondary,no,0
34,admin.,single,secondary,no,6979
40,admin.,divorced,secondary,no,6
34,services,married,secondary,no,-62
34,self-employed,married,tertiary,no,1972
34,admin.,married,tertiary,no,899
37,services,single,secondary,no,21
36,technician,married,secondary,no,23
56,retired,married,secondary,no,-1206
49,blue-collar,married,primary,no,0
33,self-employed,married,secondary,no,215
30,management,single,tertiary,no,1372
36,services,married,secondary,no,1981
23,student,single,secondary,no,9216
57,retired,divorced,secondary,no,39
27,blue-collar,single,secondary,no,5563
38,services,married,secondary,no,1
42,technician,married,tertiary,no,782
75,retired,married,secondary,no,3771
34,technician,single,tertiary,no,992
48,technician,married,secondary,no,1526
35,technician,single,tertiary,no,2658
39,management,divorced,tertiary,no,1315
29,blue-collar,single,tertiary,no,455
45,technician,single,tertiary,no,0
42,technician,married,secondary,no,2030
29,technician,married,secondary,no,1599
38,services,single,secondary,no,-196
56,retired,married,secondary,no,1333
36,technician,single,secondary,no,9149
25,blue-collar,single,secondary,no,-350
38,technician,married,tertiary,no,432
57,self-employed,married,secondary,no,11494
31,management,married,tertiary,yes,-253
42,management,married,tertiary,no,372
45,technician,married,secondary,no,1410
30,blue-collar,married,secondary,no,975
49,blue-collar,married,primary,no,305
49,services,married,secondary,no,400
53,retired,married,tertiary,no,-22
37,technician,married,secondary,no,4030
49,blue-collar,married,primary,no,365
41,self-employed,married,primary,no,204
54,management,married,primary,no,1691
32,services,single,secondary,no,406
33,technician,married,secondary,no,-204
33,technician,married,secondary,no,359
36,blue-collar,married,primary,no,123
35,technician,married,tertiary,no,0
52,unknown,married,secondary,no,142
40,entrepreneur,married,tertiary,no,3571
44,technician,single,secondary,no,33
45,blue-collar,single,secondary,no,0
30,student,single,secondary,no,3096
48,technician,divorced,secondary,yes,20
33,blue-collar,married,secondary,no,3576
57,technician,married,unknown,no,206
57,housemaid,married,primary,no,7082
51,unemployed,married,tertiary,no,1634
34,admin.,single,secondary,no,1
50,self-employed,married,tertiary,no,4012
44,management,married,tertiary,no,3762
27,admin.,married,secondary,no,-247
50,blue-collar,married,secondary,no,606
36,management,married,tertiary,no,0
42,management,married,secondary,no,-189
32,unemployed,single,secondary,no,0
42,management,married,tertiary,no,484
43,technician,married,secondary,no,0
31,management,married,tertiary,no,395
32,management,married,tertiary,no,2349
55,blue-collar,divorced,primary,no,410
58,retired,married,primary,no,3401
46,blue-collar,married,primary,no,222
55,blue-collar,married,secondary,no,989
34,management,married,tertiary,no,415
28,unemployed,single,secondary,no,16
42,technician,divorced,tertiary,no,7190
29,blue-collar,single,secondary,no,482
54,housemaid,married,secondary,no,209
32,technician,single,secondary,no,0
39,technician,single,tertiary,no,5803
53,entrepreneur,married,tertiary,no,624
58,technician,married,tertiary,no,883
40,self-employed,married,secondary,no,1516
29,student,single,secondary,no,872
33,technician,married,tertiary,no,-988
38,admin.,single,secondary,no,902
56,services,divorced,secondary,no,1007
40,services,married,secondary,no,0
24,blue-collar,single,secondary,no,174
46,management,married,secondary,no,12186
35,self-employed,married,secondary,no,524
35,blue-collar,single,tertiary,no,0
34,technician,married,secondary,no,4
35,housemaid,married,tertiary,no,11219
38,technician,single,tertiary,no,0
50,blue-collar,married,primary,no,5776
51,blue-collar,divorced,primary,no,37
59,self-employed,married,tertiary,no,593
32,blue-collar,married,secondary,no,1148
37,blue-collar,single,secondary,no,3561
42,admin.,divorced,secondary,no,63
40,student,married,secondary,no,260
28,technician,single,tertiary,no,2269
47,admin.,married,secondary,no,1060
27,self-employed,married,secondary,no,-220
41,management,married,tertiary,no,49
34,admin.,married,tertiary,no,69
50,blue-collar,married,primary,no,4108
47,blue-collar,married,secondary,no,480
53,services,married,secondary,no,4994
53,technician,divorced,secondary,no,0
47,management,married,tertiary,no,3681
49,entrepreneur,divorced,unknown,yes,-701
29,management,married,tertiary,no,451
45,blue-collar,divorced,primary,no,-311
38,entrepreneur,married,secondary,no,593
32,blue-collar,married,secondary,no,759
70,retired,divorced,primary,no,4531
65,retired,divorced,primary,no,1840
56,blue-collar,married,secondary,no,345
35,blue-collar,married,secondary,no,1287
56,management,married,unknown,no,353
56,technician,married,secondary,no,205
49,entrepreneur,married,secondary,no,687
38,unemployed,married,primary,no,1147
35,management,married,tertiary,no,4286
38,admin.,married,tertiary,no,605
49,blue-collar,married,secondary,no,8545
55,management,married,unknown,no,559
43,blue-collar,single,primary,no,2
43,management,married,tertiary,no,2
25,admin.,single,tertiary,no,760
30,blue-collar,married,primary,no,1317
46,blue-collar,married,secondary,no,182
50,admin.,married,primary,no,276
35,entrepreneur,married,secondary,no,2971
26,unemployed,single,secondary,no,1064
45,admin.,married,unknown,no,1783
37,blue-collar,married,secondary,no,-67
60,self-employed,single,tertiary,no,179
38,management,married,tertiary,no,1199
47,blue-collar,married,primary,no,214
33,technician,married,secondary,no,6699
51,unemployed,married,secondary,no,1760
35,entrepreneur,single,tertiary,no,145
35,unemployed,married,secondary,no,978
48,admin.,single,secondary,no,1150
37,admin.,married,secondary,no,121
29,technician,single,tertiary,no,828
34,admin.,married,secondary,no,244
32,services,married,primary,no,228
30,management,single,tertiary,no,424
47,management,divorced,tertiary,no,447
33,blue-collar,married,primary,no,-195
33,management,single,tertiary,no,1410
63,retired,married,primary,no,1084
51,self-employed,divorced,primary,no,10924
41,management,married,tertiary,no,832
56,retired,married,tertiary,no,478
60,management,single,tertiary,no,0
41,self-employed,single,tertiary,no,3950
37,management,single,unknown,no,504
36,blue-collar,single,secondary,no,219
57,management,married,tertiary,no,1602
55,management,married,primary,no,2587
44,admin.,married,secondary,no,0
47,self-employed,married,tertiary,no,2303
31,blue-collar,married,secondary,no,1660
35,management,married,tertiary,yes,32
39,management,married,tertiary,no,278
50,management,married,tertiary,no,4
29,management,married,tertiary,no,318
30,services,single,secondary,no,209
46,services,married,secondary,no,271
27,management,single,unknown,no,3196
48,admin.,divorced,secondary,no,4099
26,student,single,secondary,no,2572
36,management,single,tertiary,no,339
42,blue-collar,married,primary,no,0
50,housemaid,married,primary,no,395
49,blue-collar,married,secondary,no,2039
45,management,married,tertiary,no,5450
23,student,single,secondary,no,780
38,technician,single,secondary,no,0
32,management,single,tertiary,no,8436
60,technician,single,primary,no,11262
30,entrepreneur,married,secondary,no,946
58,housemaid,married,tertiary,no,497
60,retired,married,primary,no,55
38,services,married,secondary,no,-140
51,technician,married,secondary,no,-379
42,admin.,married,secondary,no,-396
30,services,single,secondary,no,0
40,management,married,primary,no,733
37,management,married,tertiary,no,393
53,technician,divorced,primary,no,7290
27,services,single,secondary,no,468
39,blue-collar,married,secondary,no,0
39,blue-collar,married,primary,no,3705
59,retired,married,tertiary,no,9676
37,services,married,secondary,no,1328
41,blue-collar,married,primary,no,8
45,blue-collar,married,primary,no,61
48,management,married,tertiary,no,6613
48,technician,married,secondary,no,302
32,blue-collar,married,secondary,no,1005
35,services,married,secondary,no,109
33,management,single,tertiary,no,1240
28,blue-collar,single,primary,no,0
64,retired,married,unknown,no,2923
35,technician,married,secondary,no,0
33,blue-collar,married,secondary,no,43
41,technician,married,secondary,no,288
34,admin.,married,secondary,no,613
37,technician,single,tertiary,no,6101
38,blue-collar,married,primary,no,168
39,blue-collar,married,primary,no,7685
35,technician,divorced,tertiary,no,4515
28,blue-collar,single,secondary,no,517
27,blue-collar,single,secondary,no,148
48,retired,married,primary,yes,-285
50,blue-collar,married,secondary,no,887
45,self-employed,married,secondary,no,3098
41,technician,married,tertiary,no,744
39,technician,married,secondary,no,130
44,management,married,secondary,no,438
54,admin.,married,secondary,no,0
49,management,married,tertiary,no,322
34,blue-collar,single,secondary,no,186
75,retired,divorced,tertiary,no,3810
42,management,married,tertiary,no,0
53,blue-collar,married,secondary,no,4380
49,management,divorced,tertiary,no,755
31,services,single,secondary,no,2070
45,blue-collar,single,primary,no,999
39,self-employed,married,secondary,no,167
46,technician,married,secondary,no,1322
42,admin.,divorced,secondary,no,1076
37,management,married,tertiary,no,502
26,technician,single,tertiary,no,1216
37,management,single,tertiary,no,876
36,services,single,secondary,no,342
29,blue-collar,single,primary,no,950
36,blue-collar,married,primary,no,973
26,technician,married,tertiary,no,3825
32,blue-collar,married,secondary,no,2366
40,management,married,tertiary,no,542
53,management,married,primary,no,995
29,management,married,tertiary,no,20
34,technician,single,tertiary,no,228
43,blue-collar,married,secondary,no,130
56,management,married,tertiary,no,217
55,entrepreneur,divorced,tertiary,no,0
31,self-employed,married,tertiary,no,259
27,admin.,single,secondary,no,619
36,management,married,secondary,no,644
44,management,married,tertiary,no,22
37,admin.,divorced,tertiary,no,4303
30,admin.,single,secondary,no,239
42,technician,single,secondary,no,275
30,management,married,tertiary,no,1221
62,retired,married,secondary,no,816
24,blue-collar,married,secondary,no,1222
31,technician,married,secondary,no,2363
66,retired,married,tertiary,no,2262
47,admin.,married,secondary,no,2
39,entrepreneur,married,tertiary,no,2
35,technician,married,secondary,no,4508
35,admin.,divorced,secondary,no,-402
27,technician,married,secondary,no,1577
32,blue-collar,married,secondary,no,34
44,management,married,tertiary,no,795
42,blue-collar,married,secondary,no,117
34,self-employed,single,tertiary,no,5462
25,services,single,secondary,no,402
40,technician,single,secondary,no,641
43,management,divorced,tertiary,no,36
55,unemployed,married,tertiary,no,383
50,blue-collar,married,secondary,no,283
45,management,divorced,tertiary,no,0
35,blue-collar,divorced,secondary,no,3102
32,blue-collar,married,secondary,no,889
59,housemaid,married,secondary,no,0
34,self-employed,married,secondary,no,-370
39,management,married,tertiary,no,-606
40,management,single,secondary,no,10378
36,blue-collar,single,primary,no,1313
40,management,married,tertiary,no,8969
55,self-employed,married,secondary,no,-196
38,entrepreneur,married,secondary,yes,15
61,admin.,married,secondary,no,4608
41,management,married,tertiary,no,666
57,blue-collar,married,primary,no,452
48,blue-collar,married,secondary,no,149
77,retired,married,tertiary,no,7802
35,services,married,secondary,no,1453
54,blue-collar,married,secondary,no,1480
37,management,single,unknown,no,715
56,management,single,secondary,no,237
40,technician,married,secondary,no,694
40,management,married,tertiary,no,0
54,management,married,tertiary,no,55
55,housemaid,married,primary,no,136
55,services,divorced,secondary,yes,-404
52,blue-collar,married,primary,no,779
55,blue-collar,single,primary,no,1187
33,management,married,tertiary,no,641
52,blue-collar,married,unknown,no,826
33,services,divorced,secondary,no,991
53,admin.,married,secondary,no,1796
46,admin.,married,secondary,no,22
44,technician,single,secondary,no,244
48,management,divorced,tertiary,no,1328
50,housemaid,married,secondary,no,7317
34,technician,single,secondary,no,4943
38,technician,single,secondary,no,258
42,management,single,tertiary,no,515
32,management,single,tertiary,no,12607
58,admin.,married,secondary,no,2
31,management,married,tertiary,no,13
19,student,single,primary,no,103
41,management,married,tertiary,no,3872
31,unemployed,married,secondary,no,296
52,self-employed,single,primary,no,217
42,self-employed,divorced,tertiary,no,360
41,blue-collar,single,secondary,no,428
30,blue-collar,single,secondary,no,315
38,blue-collar,married,secondary,no,121
32,management,married,tertiary,no,820
52,technician,married,secondary,no,195
48,management,divorced,tertiary,no,108
36,management,married,tertiary,no,-381
45,unemployed,divorced,primary,no,757
34,technician,married,tertiary,no,691
36,blue-collar,married,primary,no,1925
34,management,married,tertiary,no,902
61,retired,married,secondary,no,5207
54,services,married,secondary,no,0
50,entrepreneur,married,secondary,no,665
43,admin.,divorced,secondary,no,738
47,blue-collar,married,primary,no,233
45,services,married,secondary,no,-839
57,retired,married,primary,no,5799
27,admin.,married,secondary,no,1033
49,unemployed,divorced,secondary,no,66
43,services,married,primary,no,2567
40,management,married,tertiary,no,1584
32,services,single,secondary,no,182
58,management,married,primary,no,76
34,admin.,single,secondary,no,663
46,technician,divorced,secondary,no,3455
29,blue-collar,married,secondary,no,15
52,blue-collar,married,primary,no,1054
45,management,married,tertiary,no,1529
26,management,single,secondary,no,63
40,technician,married,tertiary,no,0
41,admin.,married,secondary,no,920
47,admin.,single,secondary,no,3696
27,technician,single,unknown,no,59
27,services,married,secondary,no,0
48,blue-collar,married,secondary,no,157
49,admin.,married,secondary,no,2465
35,blue-collar,married,primary,no,0
47,self-employed,married,secondary,yes,2
54,management,married,tertiary,no,0
39,management,single,tertiary,no,12437
28,student,single,secondary,no,378
54,blue-collar,married,primary,no,211
34,technician,married,secondary,no,-228
63,retired,married,secondary,no,2747
42,self-employed,married,tertiary,no,1932
43,technician,single,secondary,no,11269
37,admin.,married,secondary,no,1314
55,blue-collar,married,primary,no,2275
43,management,single,tertiary,no,1304
41,blue-collar,married,secondary,yes,720
47,technician,divorced,secondary,no,2914
34,technician,married,secondary,no,1464
28,student,single,secondary,no,11555
36,services,married,secondary,no,-302
50,technician,married,secondary,no,2497
35,blue-collar,married,secondary,no,-339
40,technician,married,secondary,no,56
26,self-employed,single,tertiary,no,211
36,management,divorced,tertiary,no,3611
59,unemployed,married,primary,no,0
28,student,single,secondary,no,459
46,entrepreneur,married,unknown,no,242
50,self-employed,married,secondary,no,1138
53,management,married,tertiary,no,1319
81,retired,married,secondary,no,1
35,services,divorced,secondary,no,67
58,retired,married,unknown,no,937
44,services,married,secondary,no,0
38,management,married,tertiary,no,-558
49,blue-collar,married,secondary,no,171
33,technician,single,tertiary,no,696
29,management,married,tertiary,no,361
28,technician,single,secondary,no,227
31,admin.,married,secondary,no,236
33,management,single,tertiary,no,-53
52,technician,married,secondary,no,192
43,management,divorced,tertiary,no,38
32,self-employed,single,secondary,no,518
36,self-employed,married,tertiary,no,16
41,blue-collar,married,secondary,no,-256
43,blue-collar,married,secondary,no,105
45,self-employed,married,tertiary,no,334
39,technician,married,secondary,no,1048
41,services,married,secondary,no,108
31,technician,married,secondary,no,660
37,unemployed,single,tertiary,yes,0
28,entrepreneur,married,unknown,no,1034
47,housemaid,married,primary,no,201
37,housemaid,married,primary,no,189
60,retired,divorced,unknown,no,-49
43,technician,divorced,secondary,no,1413
58,retired,divorced,tertiary,no,264
52,entrepreneur,married,tertiary,no,54
50,blue-collar,married,primary,no,12519
32,services,single,secondary,no,2881
42,blue-collar,married,primary,no,0
31,admin.,married,secondary,no,88
28,blue-collar,married,secondary,no,1020
36,technician,divorced,tertiary,no,119
51,unemployed,single,tertiary,no,1594
46,technician,married,tertiary,no,342
50,services,single,secondary,no,72
32,blue-collar,married,secondary,no,14
26,entrepreneur,single,tertiary,no,81
41,self-employed,married,tertiary,no,231
39,technician,married,tertiary,no,1161
31,blue-collar,married,secondary,no,-45
28,management,single,tertiary,no,231
31,management,single,secondary,no,36
30,technician,married,tertiary,no,1570
35,technician,married,tertiary,no,7050
33,blue-collar,married,primary,no,3704
30,technician,single,tertiary,no,6619
32,blue-collar,single,secondary,no,-84
40,management,single,tertiary,no,1509
31,self-employed,married,tertiary,no,1134
36,technician,married,secondary,no,146
33,management,single,tertiary,no,9449
57,retired,married,secondary,no,374
45,technician,married,secondary,no,88
59,management,married,tertiary,no,2764
30,management,single,tertiary,no,2
33,technician,married,tertiary,no,8023
52,blue-collar,married,secondary,no,289
83,retired,married,secondary,no,0
58,self-employed,divorced,tertiary,no,1382
33,management,divorced,tertiary,yes,280
41,blue-collar,divorced,primary,no,2195
31,self-employed,married,secondary,no,33
35,blue-collar,divorced,secondary,no,275
27,management,single,tertiary,no,703
57,admin.,divorced,unknown,no,887
56,unknown,married,unknown,no,0
53,admin.,single,secondary,no,1178
39,management,married,tertiary,no,2763
32,entrepreneur,single,tertiary,no,890
46,self-employed,married,secondary,no,548
56,technician,married,tertiary,no,272
46,management,divorced,tertiary,no,6269
29,entrepreneur,married,secondary,no,178
60,management,married,primary,no,252
33,housemaid,single,tertiary,no,23663
27,entrepreneur,single,tertiary,no,81
50,self-employed,divorced,tertiary,no,59
45,services,married,secondary,no,1343
58,retired,married,secondary,no,225
59,retired,married,primary,no,0
58,retired,divorced,primary,no,2538
64,retired,married,primary,no,43
47,technician,married,secondary,no,57
40,management,married,tertiary,no,-117
36,technician,divorced,secondary,no,666
28,management,single,tertiary,no,0
38,technician,single,tertiary,no,25
53,entrepreneur,married,primary,no,1034
46,blue-collar,single,secondary,no,324
54,technician,married,secondary,no,0
32,management,married,tertiary,no,0
55,management,married,primary,no,621
55,retired,divorced,secondary,no,138
56,technician,married,secondary,no,4063
40,blue-collar,married,secondary,no,11084
44,technician,married,secondary,no,310
32,entrepreneur,married,unknown,no,73
33,management,married,tertiary,no,1808
41,unemployed,divorced,secondary,no,1281
37,technician,married,secondary,no,64
58,management,single,tertiary,no,2
52,blue-collar,married,secondary,no,60
49,services,single,secondary,no,133
44,housemaid,married,primary,no,3706
28,admin.,single,unknown,no,174
31,technician,married,secondary,no,251
37,self-employed,married,secondary,no,4153
30,technician,single,tertiary,no,985
28,services,single,secondary,no,168
46,services,married,secondary,no,1550
47,management,married,tertiary,no,7708
35,blue-collar,married,primary,no,-12
80,management,married,primary,no,6483
30,technician,single,tertiary,no,60
55,technician,single,secondary,no,3339
22,student,single,tertiary,no,1161
33,blue-collar,single,primary,no,599
53,entrepreneur,married,unknown,no,28
49,management,married,tertiary,no,1430
51,retired,married,secondary,no,35
41,self-employed,married,tertiary,no,6000
34,technician,married,secondary,no,0
36,blue-collar,single,secondary,no,340
35,entrepreneur,married,tertiary,no,0
29,services,married,secondary,no,3
40,technician,single,tertiary,no,445
32,management,divorced,tertiary,no,874
48,blue-collar,married,secondary,no,705
59,retired,married,unknown,no,1033
35,self-employed,divorced,tertiary,no,1354
33,technician,single,tertiary,no,123
55,retired,married,primary,no,8894
41,blue-collar,married,secondary,no,429
42,housemaid,married,primary,no,14752
46,blue-collar,married,primary,no,67
35,housemaid,divorced,secondary,no,39
28,technician,single,tertiary,no,102
25,student,single,secondary,no,1790
56,management,single,tertiary,no,15311
30,admin.,single,secondary,no,-635
45,blue-collar,married,secondary,no,115
40,management,married,tertiary,no,10786
40,blue-collar,married,secondary,no,498
39,blue-collar,married,secondary,no,1045
48,entrepreneur,married,tertiary,no,810
31,technician,single,tertiary,no,-162
32,management,married,tertiary,no,55
34,services,married,secondary,no,586
26,technician,single,secondary,no,455
31,management,married,tertiary,no,1010
37,management,single,tertiary,no,509
29,student,single,unknown,no,2929
57,technician,married,secondary,no,3071
47,management,single,tertiary,no,153
38,self-employed,single,secondary,no,1146
48,blue-collar,married,primary,no,1092
50,management,married,tertiary,no,3463
33,admin.,married,secondary,no,1158
28,admin.,single,secondary,no,26
30,services,single,secondary,no,566
52,technician,divorced,secondary,no,204
36,technician,married,secondary,no,480
36,technician,single,secondary,no,1855
46,services,married,secondary,no,1034
57,management,married,tertiary,no,3250
28,management,single,secondary,no,1633
46,services,married,secondary,no,0
55,retired,married,primary,no,3334
33,management,married,tertiary,no,4020
53,management,married,secondary,no,66
41,technician,single,secondary,no,-41
60,blue-collar,married,secondary,no,322
35,entrepreneur,married,primary,no,2643
43,blue-collar,divorced,primary,no,49
57,admin.,divorced,primary,no,1
46,admin.,married,secondary,no,3098
31,blue-collar,married,primary,no,352
53,technician,married,secondary,no,65
35,blue-collar,married,secondary,no,1949
32,admin.,single,secondary,no,739
48,management,married,tertiary,no,1167
50,admin.,married,secondary,no,231
40,blue-collar,married,primary,no,1136
42,entrepreneur,married,tertiary,no,233
59,admin.,married,secondary,no,817
27,blue-collar,single,primary,no,1128
32,management,single,tertiary,no,1831
35,technician,single,secondary,no,450
28,services,married,secondary,no,0
37,management,divorced,secondary,no,414
57,management,married,primary,no,1052
42,admin.,single,secondary,no,1022
55,admin.,married,primary,no,343
52,management,married,tertiary,no,1944
26,blue-collar,single,secondary,no,-32
52,technician,married,secondary,no,1781
26,management,single,tertiary,no,350
33,unemployed,married,secondary,no,2
24,blue-collar,single,primary,no,111
37,management,divorced,tertiary,no,168
28,technician,single,secondary,no,3
30,technician,single,secondary,no,102
33,blue-collar,married,primary,no,0
55,unknown,married,primary,no,159
33,blue-collar,married,secondary,no,1134
42,blue-collar,married,secondary,no,352
37,management,married,tertiary,no,865
59,blue-collar,married,primary,no,179
27,blue-collar,single,secondary,no,5
23,student,married,tertiary,yes,-230
51,management,divorced,tertiary,no,0
50,blue-collar,married,primary,no,3924
43,technician,married,secondary,no,764
37,blue-collar,divorced,primary,no,511
34,management,single,tertiary,no,4348
41,management,married,tertiary,no,3016
26,student,single,secondary,no,279
49,management,divorced,tertiary,no,1405
29,blue-collar,single,secondary,no,908
30,management,single,tertiary,no,162
38,services,divorced,secondary,no,792
58,management,married,secondary,no,111
34,student,single,unknown,no,1281
53,services,divorced,unknown,no,1012
50,management,married,tertiary,no,2881
30,blue-collar,single,secondary,no,445
40,management,married,secondary,no,643
57,housemaid,single,secondary,no,254
40,management,married,tertiary,no,-1212
41,technician,married,secondary,no,2125
53,technician,divorced,unknown,no,629
48,blue-collar,married,secondary,no,-202
32,technician,single,secondary,no,271
34,management,married,tertiary,no,703
46,blue-collar,married,secondary,no,-216
45,services,divorced,secondary,no,88
51,admin.,single,tertiary,no,16
31,management,married,secondary,no,466
47,technician,married,secondary,no,-75
32,blue-collar,married,secondary,no,456
41,technician,married,secondary,no,77
37,services,single,secondary,no,-244
27,blue-collar,single,primary,no,1209
27,services,married,secondary,no,58
50,management,married,secondary,yes,421
31,management,single,tertiary,no,112
40,self-employed,married,tertiary,no,13669
43,management,married,tertiary,no,1429
39,technician,married,tertiary,no,794
31,entrepreneur,single,tertiary,no,1957
48,technician,married,secondary,no,454
32,blue-collar,single,primary,no,882
47,unemployed,married,primary,no,168
35,management,single,tertiary,no,714
42,management,single,tertiary,no,0
47,blue-collar,married,secondary,no,1996
59,retired,married,secondary,no,163
38,admin.,married,secondary,no,3190
50,unemployed,married,secondary,no,1772
27,services,single,secondary,no,-151
55,housemaid,married,primary,no,16
39,services,single,secondary,no,7066
31,technician,single,tertiary,no,454
37,entrepreneur,married,tertiary,no,4798
28,technician,single,secondary,yes,-298
42,technician,married,secondary,no,439
